Failas	Tema	Straipsnio_pavadinimas	Vertinamas_teiginys	Publikavimo_data	Nuoroda	Žodžių_skaičius	Paneigė	Paneigimo_nuoroda
UN_COV_13	Covid-19	CDC bomba: ‘COVID vakcinos sutrumpina gyvenimo trukmę 25 metais’ 	JAV Ligų kontrolės ir prevencijos centras (CDC) įspėjo, kad daugkartiniai COVID-19 skiepai sutrumpina žmogaus gyvenimo trukmę iki 24 metų. Remiantis CDC duomenimis apie mirtingumą dėl visų priežasčių, COVID-19 skiepai naikina imuninę sistemą tokiu greičiu, kuris su kiekvienais metais nuolat didėja	2023-04-01	https://paranormal.lt/covid-vakcinos-sutrumpina-gyvenimo-trukme-25-metais	1272	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-covid-19-vakcinos-gyvenimo-trukme-sutrumpina-24-metais.d?id=92593055
UN_APL_04	Aplinkosauga	A. Guoga: ,,Didžiausia visų laikų afera"	Antropogeninė (žmogaus veiklos sukelta) klimato kaita yra netikra	2018-12-19	https://minfo.lt/mokslas/straipsnis/a-guoga-didziausia-visu-laiku-afera	1458	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-klimato-kaita-yra-ne-afera-o-mokslinis-faktas.d?id=92545747
UN_APL_05	Aplinkosauga	Klimato atšilimas – tik dar viena afera?	Antropogeninė (žmogaus veiklos sukelta) klimato kaita yra netikra	2022-12-22	https://77.lt/klimato-atsilimas-tik-dar-viena-afera	1240	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-klimato-kaita-yra-ne-afera-o-mokslinis-faktas.d?id=92545747
UN_APL_06	Aplinkosauga	Politikas teigia: klimato kaita smegenų plovimo afera	Antropogeninė (žmogaus veiklos sukelta) klimato kaita yra netikra	2017-02-28	https://paranormal.lt/news/politikas_teigia_klimato_kaita_smegenu_plovimo_afera/2017-02-28-2514	281	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-klimato-kaita-yra-ne-afera-o-mokslinis-faktas.d?id=92545748
UN_COV_14	Covid-19	Neskiepytos moterys praneša apie "kankinantį skausmą, menstruacijų spazmus" po to, kai miegojo su vakcinuotais vyrais	Neskiepytos moterys praneša apie „kankinantį skausmą, menstruacijų spazmus“ po to, kai miegojo su vakcinuotais vyrais 	2023-02-10	https://paranormal.lt/sveikata-neskiepytos-moterys-pranesa-2023-02-10	487	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-apie-moteru-kancias-po-santykiu-su-nuo-covid-19-paskiepytais-vyrais.d?id=92546015
UN_COV_15	Covid-19	Tailando princesė komoje galimai po koronės marmalizacijos procedūros	Tailando princesė paniro į komą dėl COVID-19 vakcinos, o šalis ketina nutraukti sutartį su „Pfizer“ 	2023-02-08	https://3min.lt/straipsnis/26988/tailando-princese-komoje-galimai-po-korones-marmalizacijos-proceduros	709	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-tailando-princese-nepaniro-i-koma-del-covid-19-vakcinos-o-salis-neketina-nutraukti-sutarties-su-pfizer.d?id=92530411
UN_POL_10	Politika	Po žemės drebėjimų netyla kalbos apie tai, kas tai sukėlė	Vasario 6 d. Turkiją ir Siriją sukrėtusį žemės drebėjimą sukėlė JAV valdomas „klimato ginklas“ HAARP.	2023-02-07	https://77.lt/po-zemes-drebejimu-netyla-kalbos-apie-tai-kas-tai-sukele	1444	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/del-zemes-drebejimo-turkijoje-apkaltino-haarp-ir-nato-tai-i-nauja-ruba-ivilkta-sena-samokslo-teorija.d?id=92520861
UN_POL_11	Politika	Prieš žemės drebėjimą Turkijoje danguje pastebėti keistoki blyksniai	Vasario 6 d. Turkiją ir Siriją sukrėtusį žemės drebėjimą sukėlė JAV valdomas „klimato ginklas“ HAARP.	2023-02-09	https://paranormal.lt/konspirologija-turkija-2023-02-09	383	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/del-zemes-drebejimo-turkijoje-apkaltino-haarp-ir-nato-tai-i-nauja-ruba-ivilkta-sena-samokslo-teorija.d?id=92520861
UN_APL_07	Aplinkosauga	Kinijos informacija apie klimato kaitą ir ekologinį fašizmą (labai aiškus)	Žemės magnetinio lauko svyravimai sukelia šių dienų klimato kaitą	2022-09-14	https://netiesa.lt/straipsnis/24944/kinijos-informacija-apie-klimato-kaita-ir-ekologini-fasizma-labai-aiskus	2635	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-zemes-magnetinio-lauko-svyravimai-nesukelia-siu-dienu-klimato-kaitos.d?id=92414421
UN_COV_16	Covid-19	AEMEMI gydytojai išgydė 100 pacientų nuo Covid-19 naudojant CDS	AEMEMI (Ekvadoro integruotosios medicinos gydytojų ekspertų asociacija – RED.) gydytojai išgydė 100 pacientų nuo COVID-19 naudojant CDS (chloro dioksido tirpalas)	2023-01-15	https://paranormal.lt/2023-01-15-11	112	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/nuodinga-tirpala-melagingai-reklamuoja-kaip-vaista-nuo-covid-19-ligos-jau-pateikti-ir-kaltinimai-del-berniuko-mirties.d?id=92414075
UN_SVE_10	Sveikata	Būkite atidūs! Iš Kinijos atkeliauja plastikiniai ryžiai	Iš Kinijos importuoti dirbtiniai ryžiai yra pagaminti iš plastiko	2017-01-21	https://bukimsveiki.lt/bukite-atidus-is-kinijos-atkeliauja-plastikiniai-ryziai/	225	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/prikele-sena-mita-apie-plastikinius-ryzius-ne-siame-irase-matomi-ryziai-pagaminti-ne-is-plastiko.d?id=92413365
UN_SVE_11	Sveikata	Mokslininkai įspėja, kad dėl kiaušinių tūkstančiams žmonių "staiga" susidaro kraujo krešuliai	Mokslininkai įspėja, kad dėl kiaušinių tūkstančiams žmonių „staiga“ susidaro kraujo krešuliai.	2023-01-24	https://paranormal.lt/2023-01-24-5	332	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-apie-kiausiniu-poveiki-sveikatai-ne-jie-nesukelia-kraujo-kresuliu.d?id=92406619
UN_COV_17	Covid-19	Oficialus tyrimas: COVID stiprinamosios vakcinos sukelia visišką imuninės sistemos žlugimą	Naujas oficialus tyrimas atskleidė, kad COVID stiprinamosios vakcinos visiškai sugriauna žmonių imuninę sistemą	2023-01-22	https://paranormal.lt/2023-01-22-6	504	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-covid-19-vakcinos-sustiprinancios-dozes-sunaikina-zmoniu-imuniteta.d?id=92404335
UN_COV_18	Covid-19	Kuo daugiau COVID-19 vakcinos dozių – tuo silpnesnė imuninė sistema?	Naujas oficialus tyrimas atskleidė, kad COVID stiprinamosios vakcinos visiškai sugriauna žmonių imuninę sistemą	2023-07-23	https://sti.lt/kuo-daugiau-covid-19-vakcinos-doziu-tuo-silpnesne-imumine-sistema/	527	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-covid-19-vakcinos-sustiprinancios-dozes-sunaikina-zmoniu-imuniteta.d?id=92404336
UN_COV_19	Covid-19	JAV valdžia pripažįsta, kad „5G spinduliuotė sukelia COVID-19“	JAV valdžia pripažįsta, kad 5G spinduliuotė sukelia COVID-19 	2023-01-27	https://minfo.lt/pasaulis/straipsnis/jav-valdzia-pripazista-kad-5g-spinduliuote-sukelia-covid-19	207	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/vel-meluoja-kad-5g-rysys-sukelia-covid-19-irodymas-istrintas-tyrimas.d?id=92402005
UN_COV_20	Covid-19	Kovid-jab sukeltas AIDS: Ligų ir mirčių daugės, nes mRNA pažeista imuninė sistema pasiduoda kiekvienai naujai ligai	Ligų ir mirčių daugės, nes mRNA pažeista imuninė sistema pasiduoda kiekvienai naujai ligai. Teigiama, kad visiškai paskiepyti asmenys praras bendrąjį imunitetą ir nebegalės apsisaugoti nuo bet kokių koronavirusų, įskaitant peršalimo ligas.	2023-01-10	https://paranormal.lt/2023-01-10-2	528	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-covid-19-vakcinomis-pasiskiepije-zmones-praras-imuniteta.d?id=92350627
UN_COV_21	Covid-19	JK vyriausybė: šimtai tūkstančių britų miršta dėl COVID skiepų	„JK vyriausybė: šimtai tūkstančių britų miršta dėl COVID skiepų“, – tokia antraštė pasirodė portale paranormal.lt . O straipsnyje teigiama, kad „JK vyriausybės informatorius patvirtino, kad nuo COVID-19 vakcinų įdiegimo mirė šimtai tūkstančių britų. 	2023-01-08	https://paranormal.lt/2023-01-08-16	306	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/isaugusio-mirtingumo-jk-priezastimi-ivardijo-covid-19-vakcinas-tai-melas.d?id=92286329
UN_UKR_10	Karas Ukrainoje	Žiauru! Rusijos oro gynyba Engelse panikuoja – iš baimės numušė savo Su-27, pilotas žuvo	Žinutės socialiniuose tinkluose: fotografijoje, kurioje vaizduojamas degantis ir krentantis karinis lėktuvas užfiksuotas Rusijos pajėgoms priklausantis naikintuvas Su-27, kurį pati agresorė numušė virš Saratovo srities, Ukrainoje, greičiausiai sumaišiusi su ukrainiečių dronu 	2022-12-30	http://www.technologijos.lt/n/technologijos/karyba/S-115052/straipsnis/Zinios-trumpai-Ziauru-Rusijos-oro-gynyba-Engelse-panikuoja--is-baimes-numuse-savo-Su-27-pilotas-zuvo	124	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/pranesa-apie-rusijos-numusta-savo-paciu-naikintuva-naudodami-sena-nuotrauka-ji-nera-susijusi-su-karu-ukrainoje.d?id=92167079
UN_SVE_12	Sveikata	Ekspertai įspėja, kad dirbtiniai saldikliai lemia didžiulį staigių mirčių šuolį 	Ekspertai įspėja, kad dirbtiniai saldikliai lemia didžiulį staigių mirčių šuolį 	2022-12-28	https://paranormal.lt/2022-12-28-4	1447	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-zmones-staigiai-mirsta-nuo-dirbtiniu-saldikliu.d?id=92166599
UN_COV_22	Covid-19	Keletas naujų įrodymų, kad Covid-19 vakcinose yra paslėptas masinės depopuliacijos ginklas	Lietuviškas portalas minfo.lt pranešė apie „keletą naujų įrodymų, kad COVID-19 vakcinose yra paslėptas masinės depopuliacijos ginklas“	2022-12-21	https://minfo.lt/pasaulis/straipsnis/keletas-nauju-irodymu-kad-covid-19-vakcinose-yra-pasleptas-masines-depopuliacijos-ginklas	142	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-rado-nauju-irodymu-apie-covid-19-vakcinas-jos-tikrai-nera-zmonijos-naikinimo-ginklas.d?id=92157917
UN_COV_23	Covid-19	COVID-19 skiepai mokytojus privedė prie vėžio	Neaktyvus vėžys po Covid-19 vakcinos staiga sparčiai progresuoja	2023-09-28	https://77.lt/covid-19-skiepai-mokytojus-privede-prie-vezio	1065	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-jog-po-covid-19-vakcinos-vezys-sparciai-progresuoja-tai-melas.d?id=92148249
UN_COV_24	Covid-19	VAERS rodo, kad nuo mRNA įdiegimo persileidimų ir negyvų gimusių kūdikių padaugėjo 4070 proc.	VAERS (Vakcinų nepageidaujamų įvykių pranešimo sistema JAV – Red.) rodo, kad nuo mRNA vakcinų įdiegimo persileidimų ir negyvų gimusių kūdikių padaugėjo 4070 proc	2022-12-20	https://paranormal.lt/2022-12-20-5	339	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-jog-del-covid-19-vakcinos-persileidimu-skaicius-isaugo-4070-proc.d?id=92136377
UN_SVE_13	Sveikata	Sąmokslas: Grafeno jau yra visuose vaistuose. Kodėl jie jį ten įdėjo?	Grafeno jau yra visuose vaistuose.	2022-12-20	https://paranormal.lt/2022-12-20-4	325	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-visuose-vaistuose-yra-grafeno-bet-reikia-tik-paskaityti-ju-sudeti.d?id=92127943
UN_SVE_14	Sveikata	"5G" dažnių poveikis sukelia depresiją, rodo oficialus tyrimas	"5G" dažnių poveikis sukelia depresiją, rodo oficialus tyrimas	2022-12-12	https://paranormal.lt/2022-12-12-6	434	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-jog-5g-sukelia-depresija.d?id=92114391
UN_COV_25	Covid-19	"Neigiamas veiksmingumas" turėjo sustabdyti COVID vakcinų rekomendacijas	Portalas paranormal.lt , remdamasis leidinio „The Epoch Times“ publikacija (čia), skelbia, jog naujausi duomenys rodo, kad vakcinos veiksmingumas nuo koronaviruso jau po kelių mėnesių tampa neigiamas.	2022-11-30	https://paranormal.lt/2022-11-30-1	1359	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-apie-covid-19-vakcinu-efektyvuma-ne-skiepai-nedidina-rizikos-uzsikresti-koronavirusu.d?id=92004551
UN_COV_26	Covid-19	Į visus įspėjimus nebuvo atsižvelgta: Europą užklupo vėžio epidemija	Publikacijoje išsakomi tokie teiginiai: „baiminamasi, kad daugelyje medvilninių tamponų, naudojamų atliekant „Covid“ tyrimus, yra kancerogeninio etileno oksido“ ir „ekspertų teigimu, eksperimentinės „Covid“ „vakcinos“ jau dabar lemia didelį vėžio atvejų skaičiaus padidėjimą visame pasaulyje“.	2022-11-21	https://viesulas22.blogspot.com/2022/11/i-visus-ispejimus-nebuvo-atsizvelgta.html	323	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ne-nei-covid-19-skiepai-nei-testavimui-naudojami-medvilniniai-tamponai-nesukelia-vezio.d?id=91858819
UN_UKR_11	Karas Ukrainoje	Ukraina užpuolė Lenkiją, tačiau spauda viską piešia priešingai	Ukraina užpuolė Lenkiją. Ukraina tyčia paleido raketą į Lenkiją, tikėdamasi sukelti Trečiąjį pasaulinį karą. 	2022-11-21	https://archive.ph/yeYhN	212	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/po-tragedijos-lenkijos-pasienyje-melaginga-versija-skelbia-kad-ukraina-uzpuole-savo-kaimyne.d?id=91805041
UN_UKR_12	Karas Ukrainoje	Ukraina tyčia paleido raketą į Lenkiją, tikėdamasi sukelti trečią pasaulinį, nausėdos tam jau pritarė	Ukraina užpuolė Lenkiją. Ukraina tyčia paleido raketą į Lenkiją, tikėdamasi sukelti Trečiąjį pasaulinį karą. 	2022-11-21	https://archive.ph/YUXHQ#selection-1351.0-1351.77	422	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/po-tragedijos-lenkijos-pasienyje-melaginga-versija-skelbia-kad-ukraina-uzpuole-savo-kaimyne.d?id=91805041
UN_COV_27	Covid-19	Kūdikiai miršta, nes jų motinos buvo "paskiepytos" nuo kovido	Vienas iš labiausiai nerimą keliančių COVID-19 vakcinų šalutinių poveikių yra tas, kad jos, atrodo, užkerta kelią reprodukcijai, žudydamos dar įsčiose esančius kūdikius	2022-11-06	https://paranormal.lt/2022-11-06-4	496	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/pateikia-sensacingus-skaicius-del-jog-del-covid-19-vakcinos-negyvagimiu-padaugejo-500-proc-tai-melas.d?id=91782313
UN_COV_28	Covid-19	Kūdikiai, kuriuos krūtimi maitino mRNA vakcinas vartojusios motinos, miršta - gydytojai suglumę	Kūdikiai, kuriuos žindo motinos, gavusios mRNR vakcinų, neįprastai daug miršta	2023-05-31	https://paranormal.lt/news-2023-05-31-6	546	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-nuo-covid-19-paskiepytu-mamu-zindomi-kudikiai-daznai-mirsta.d?id=93526449
UN_COV_29	Covid-19	Kariuomenės informatoriai teigia, kad po kovido injekcijų reikalavimų vėžys, persileidimai ir širdies ligos išaugo 300 proc.	JAV Gynybos departamento (DoD) valdomoje Gynybos medicininės epidemiologijos duomenų bazėje (DMED) užfiksuoti medicininių sąskaitų kodų duomenys rodo, kad labai išaugo persileidimų, miokardito, vėžio, moterų nevaisingumo ir daugelio kitų sveikatos sutrikimų rodikliai	2022-11-02	https://paranormal.lt/2022-11-02-5	591	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/del-duomenu-bazes-klaidos-melagienu-apie-covid-19-vakcinu-zala-pliupsnis.d?id=91737849
UN_COV_30	Covid-19	Gydytojas teigia, kad GRAFENAS persiduoda iš paskiepytųjų į neskiepytųjų kraują ir dėl to sunaikinamos kraujo ląstelės, susidaro krešuliai	Gydytojas teigia, kad grafenas persiduoda iš paskiepytųjų į neskiepytųjų kraują ir dėl to sunaikinamos kraujo ląstelės, susidaro krešuliai	2022-10-28	https://paranormal.lt/2022-10-28-6	531	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/sena-melagiena-pateike-kaip-nauja-vel-gasdina-kad-covid-19-vakcina-paskiepytieji-pavojinga-medziaga-perduoda-neskiepytiesiems.d?id=91675429
UN_APL_08	Aplinkosauga	2 iš 10 karvių, kurioms buvo sušvirkšta mRNA preparatų, miršta iš karto	Australijos pieno gamintojai verčiami galvijams švirkšti pavojingas mRNR vakcinas, kad tik galėtų tęsti veiklą. Remiantis pranešimais, 35 iš 200 karvių, suleidus joms toksiškos vakcinos, patyrė „staigią mirtį“	2022-10-29	https://paranormal.lt/2022-10-29-12	457	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-australijoje-galvijai-gaista-nuo-mrnr-vakcinos-nors-ji-dar-net-nesukurta.d?id=91660391
UN_COV_31	Covid-19	Vaikai, kuriems išsivysto vakcinų sukeltas miokarditas, mirs po 5 METŲ: Kanados gydytojas	Gydytojas iš Kanados neseniai įspėjo, kad vaikai, kuriems nuo koronaviruso (COVID-19) vakcinos išsivysto miokarditas – širdies raumens uždegimas, per penkerius metus mirs	2022-10-27	https://paranormal.lt/2022-10-27-6	557	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/melagingai-gasdina-kad-dalis-nuo-covid-19-ligos-paskiepytu-vaiku-mirs-po-5-metu.d?id=91643187
UN_COV_32	Covid-19	Oficialiame tyrime padaryta išvada, kad COVID-19 buvo sukurtas laboratorijoje	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2022-10-24	https://paranormal.lt/2022-10-24-11	374	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_33	Covid-19	Amerikiečiai mokslininkai teigia: Covid-19 sukurtas laboratorijoje	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2021-06-08	https://infa.lt/60924/amerikieciai-mokslininkai-teigia-covid-19-sukurtas-laboratorijoje/	289	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_34	Covid-19	Fauci nutekinti dokumentai patvirtina versiją, kad naujasis koronavirusas buvo sukurtas laboratorijoje	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2021-07-22	https://77.lt/fauci-nutekinti-dokumentai-patvirtina-versija-kad-naujasis-koronavirusas-buvo-sukurtas-laboratorijoje	868	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_35	Covid-19	„Facebook“ nebedraus žinučių, kad COVID-19 esą sukurta laboratorijoje	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2021-05-28	https://sekunde.lt/leidinys/sekunde/facebook-nebedraus-zinuciu-kad-covid-19-esa-sukurta-laboratorijoje/	363	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_36	Covid-19	CŽA mokėjo milijonus dolerių nuslėpti, kad covid-19 sukurtas laboratorijoje	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2023-09-13	https://laisvas.info/cza-mokejo-milijonus-doleriu-nuslepti-kad-covid-19-sukurtas-laboratorijoje/	461	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_37	Covid-19	"Sars-Cov-2" buvo pagamintas laboratorijoje pagal projektą DEFUSE	Tvirtinama, kad Vokietijos ir JAV mokslininkų atlikto oficialaus tyrimo išvadose teigiama, kad virusas, sukėlęs COVID-19 pandemiją, buvo pagamintas laboratorijoje 	2022-08-03	https://netiesa.lt/straipsnis/24492/sars-cov-2-buvo-pagamintas-laboratorijoje-pagal-projekta-defuse	2270	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
UN_COV_38	Covid-19	Informuotos moterys ATSISAKO sekso su paskiepytais vyrais, kad apsisaugotų nuo spyglio baltymų	Neskiepytos moterys atsisako sekso su paskiepytais vyrais, kad apsisaugotų nuo spyglio baltymų	2022-10-25	https://paranormal.lt/2022-10-25-12	480	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/skelbia-jog-neskiepytos-moterys-vengia-santykiu-su-pasiskiepijusiais-vyrais-taciau-irodymu-nepateikia.d?id=91605373
UN_APL_09	Aplinkosauga	Nyderlandų mokyklose vaikams pradėta tiekti sliekus ir vabalus, kad būtų kovojama su visuotiniu atšilimu	Įvairiuose Lietuvos ir užsienio portaluose pasirodė naujienų, jog Nyderlandų mokyklose vaikams pradėta tiekti sliekus ir vabalus (čia ) , kad būtų kovojama su visuotiniu atšilimu.	2022-10-16	https://paranormal.lt/2022-10-16-11	178	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-nyderlanduose-vaikai-priverstinai-maitinami-sliekais.d?id=91574651
UN_COV_39	Covid-19	Jungtinė Karalystė uždraudė COVID-19 vakciną 5-11 metų berniukams, nes tyrimas atskleidė, kad vakcina turi įtakos jų lytiniam vystymuisi	Jungtinė Karalystė uždraudė COVID-19 vakciną 5-11 metų berniukams, nes tyrimas atskleidė, kad vakcina turi įtakos jų lytiniam vystymuisi.	2022-10-19	https://paranormal.lt/2022-10-19-10	548	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/covid-19-vakcina-vaikams-uzdraude-del-jos-itakos-lytiniam-vystymuisi-tai-melas.d?id=91562569
UN_COV_40	Covid-19	Nauja studija rodo, kad "Pfizer" Paxlovid Pill sukelia mirtinus kraujo krešulius - Medijos Užtemimas	Portale paranormal.lt publikuojamo straipsnio antraštėje skelbiama, kad „nauja studija rodo, kad „Paxlovid“ sukelia mirtinus kraujo krešulius“, o tekste nurodoma, kad „nauju tyrimu nustatyta, kad „Pfizer“ gaminama tabletė „Paxlovid“ COVID-19 pacientams sukelia nepageidaujamų reakcijų, įskaitant mirtinus kraujo krešulius“	2022-10-14	https://paranormal.lt/2022-10-14-13	770	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-vaistas-nuo-covid-19-ligos-sukelia-mirtina-pavoju.d?id=91553581
UN_COV_41	Covid-19	Nuslėptas skandalas? „Pfizer“ vakcinai galimai nebuvo atlikti klinikiniai tyrimai	„Pfizer“ vadovai pripažino, kad COVID-19 vakcina neužkerta kelio viruso plitimui	2023-10-27	https://77.lt/nusleptas-skandalas-pfizer-vakcinai-galimai-nebuvo-atlikti-klinikiniai-tyrimai	826	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/europarlamentaras-paskelbe-melaginga-sensacija-apie-covid-19-vakcinas.d?id=91535785
UN_COV_42	Covid-19	„Pfizer” pripažino – COVID -19 vakcinos efektyvumas dėl viruso platinimo išbandytas niekada nebuvo	„Pfizer“ vadovai pripažino, kad COVID-19 vakcina neužkerta kelio viruso plitimui	2022-10-13	https://www.laikmetis.lt/pfizer-pripazino-covid-19-vakcinos-efektyvumas-del-viruso-platinimo-isbandytas-niekada-nebuvo/	236	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/europarlamentaras-paskelbe-melaginga-sensacija-apie-covid-19-vakcinas.d?id=91535785
UN_COV_43	Covid-19	„Pfizer“ pagaliau pripažino, kad covid-19 vakcinos nestabdo viruso perdavimo	„Pfizer“ vadovai pripažino, kad COVID-19 vakcina neužkerta kelio viruso plitimui	2022-10-12	https://laisvas.info/pfizer-pagaliau-pripazino-kad-covid-19-vakcinos-nestabdo-viruso-perdavimo/	244	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/europarlamentaras-paskelbe-melaginga-sensacija-apie-covid-19-vakcinas.d?id=91535785
UN_COV_44	Covid-19	CDC patvirtino ryšį tarp aliuminio, esančio skiepuose, ir vaikų astmos	CDC patvirtino ryšį tarp aliuminio, esančio skiepuose, ir vaikų astmos	2022-10-04	https://paranormal.lt/2022-10-04-8	1122	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-jav-patvirtino-rysi-tarp-vaiku-skiepu-ir-astmos.d?id=91456193
UN_COV_45	Covid-19	Jungtinėje Karalystėje uždrausta COVID vakcina vaikams	Jungtinėje Karalystėje uždrausta COVID vakcina vaikams	2022-09-07	https://paranormal.lt/2022-09-07-7	135	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/klaidina-esa-jungtine-karalyste-uzdraude-covid-19-vakcinas-vaikams.d?id=91380419
UN_POL_12	Politika	JAV teigia, jog yra „visiškai nesusijusios” su galima diversija dujotiekiuose „Nord Stream”	Bidenas jau seniai žadėjo, kad JAV sunaikins „Nord Stream“ dujotiekį.	2022-09-22	https://infa.lt/78073/jav-teigia-jog-yra-visiskai-nesusijusios-su-galima-diversija-dujotiekiuose-nord-stream/	371	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/meluoja-kad-bidenas-grasino-sunaikinti-nord-stream-dujotieki.d?id=91378323
UN_COV_46	Covid-19	Moteris mirė vaistinėje praėjus kelioms minutėms po to, kai gavo COVID Jab	Rugsėjo 14 dieną vienoje Kanados vaistinių gavusi COVID-19 vakcinos sustiprinančiąją dozę mirė moteris, kuri, anot jos dukters, niekada nesiskundė dėl sveikatos problemų.	2022-09-24	https://paranormal.lt/2022-09-24-9	354	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/del-netiketos-moters-mirties-kalte-suverte-covid-19-vakcinai.d?id=91353031
