Failas	Tema	Straipsnio_pavadinimas	Publikavimo_data	Nuoroda	Žodžių_skaičius
LRT_SOC_012	Kita	Nauja tėvyne Švaniui tapusi Rusija jam yra atlaidi	2023.12.19	https://www.lrt.lt/naujienos/lrt-tyrimai/5/2153271/nauja-tevyne-svaniui-tapusi-rusija-jam-yra-atlaidi	1563
LRT_SOC_013	Kita	Stačiatikių arkivyskupija perima parapijų turtą į savo rankas, įtariama skilimo baimė	2022.07.21	https://www.lrt.lt/naujienos/lrt-tyrimai/5/1742414/staciatikiu-arkivyskupija-perima-parapiju-turta-i-savo-rankas-itariama-skilimo-baime	1647
LRT_SOC_014	Kita	Po tyrimo. Miškų valdovai: valstybinę medieną dengia šešėliai	2021.07.01 	https://www.lrt.lt/naujienos/lrt-tyrimai/5/1442671/po-tyrimo-misku-valdovai-valstybine-mediena-dengia-seseliai	2763
LRT_SOC_015	Kita	Nukentėjusysis Gražulio byloje dėl LGBTQ žmonių niekinimo siekia prisiteisti 4 tūkst. eurų neturtinės žalos	2024.03.04	https://www.lrt.lt/naujienos/lietuvoje/2/2213415/nukentejusysis-grazulio-byloje-del-lgbtq-zmoniu-niekinimo-siekia-prisiteisti-4-tukst-euru-neturtines-zalos	1134
LRT_SOC_016	Kita	Cesiulis: pamatyti, kaip atrodo narkotikus vartojančio vaiko akys, ateina vos keli procentai tėvų	2024.04.15	https://www.lrt.lt/naujienos/lietuvoje/2/2249952/cesiulis-pamatyti-kaip-atrodo-narkotikus-vartojancio-vaiko-akys-ateina-vos-keli-procentai-tevu	763
LRT_SVE_001	Sveikata	Medicininė reabilitacija – ne tik „masažiukai“: ką apima šios paslaugos ir kam jos priklauso?	2024.01.14 	https://www.lrt.lt/naujienos/sveikata/682/2162665/medicinine-reabilitacija-ne-tik-masaziukai-ka-apima-sios-paslaugos-ir-kam-jos-priklauso	862
LRT_SVE_002	Sveikata	Sutrikus širdies ritmui dūstantis ugniagesys atsidūrė ligoninėje: kojos sutino tiek, kad nepajėgė užsirišti batų	2024.01.09	https://www.lrt.lt/naujienos/sveikata/682/2167188/sutrikus-sirdies-ritmui-dustantis-ugniagesys-atsidure-ligonineje-kojos-sutino-tiek-kad-nepajege-uzsiristi-batu	815
LRT_SVE_003	Sveikata	Pernai donorų organai ir audiniai persodinti 450 sunkių Lietuvos ligonių 	2024.01.08	https://www.lrt.lt/naujienos/sveikata/682/2165969/pernai-donoru-organai-ir-audiniai-persodinti-450-sunkiu-lietuvos-ligoniu	1028
LRT_SVE_004	Sveikata	NVSC: į ligonines dėl gripo paguldyta daugiau asmenų, mirė dar vienas pacientas	2024.01.08	https://www.lrt.lt/naujienos/sveikata/682/2166090/nvsc-i-ligonines-del-gripo-paguldyta-daugiau-asmenu-mire-dar-vienas-pacientas	543
LRT_SVE_005	Sveikata	Šaltą savaitgalį buvo gauti septyni pranešimai apie nušalusius žmones	2024.01.08	https://www.lrt.lt/naujienos/sveikata/682/2165982/salta-savaitgali-buvo-gauti-septyni-pranesimai-apie-nusalusius-zmones	372
LRT_SVE_006	Sveikata	Tikimybė susirgti katarakta tik didės: operacija paprasta ir greita, tačiau atidėliojimas gali kainuoti regėjimą	2024.01.08	https://www.lrt.lt/naujienos/sveikata/682/2165911/tikimybe-susirgti-katarakta-tik-dides-operacija-paprasta-ir-greita-taciau-atideliojimas-gali-kainuoti-regejima	619
LRT_SVE_007	Sveikata	Inkstų akmenligė: ligos pradžia nebyli, ūmi šlapimo takų infekcija gal būti pavojinga gyvybei	2024.01.08	https://www.lrt.lt/naujienos/sveikata/682/2165610/inkstu-akmenlige-ligos-pradzia-nebyli-umi-slapimo-taku-infekcija-gal-buti-pavojinga-gyvybei	786
LRT_SVE_008	Sveikata	Per šventes priaugti kilogramai gali turėti ilgalaikį poveikį 	2024.01.07	https://www.lrt.lt/naujienos/sveikata/682/2164504/per-sventes-priaugti-kilogramai-gali-tureti-ilgalaiki-poveiki	1031
LRT_SVE_009	Sveikata	Dėl vaistininkų patiriamo spaudimo Veryga siūlys burti Seimo darbo grupę, Matulas idėją vertina skeptiškai	2024.01.09	https://www.lrt.lt/naujienos/sveikata/682/2167133/del-vaistininku-patiriamo-spaudimo-veryga-siulys-burti-seimo-darbo-grupe-matulas-ideja-vertina-skeptiskai	501
LRT_SVE_010	Sveikata	Prisilašinus vitaminų kokteilių, galima atsidurti ir ligoninėje: ką turėtume žinoti apie šią paslaugą?	2024.01.07	https://www.lrt.lt/naujienos/sveikata/682/2162357/prisilasinus-vitaminu-kokteiliu-galima-atsidurti-ir-ligonineje-ka-turetume-zinoti-apie-sia-paslauga	672
LRT_SVE_011	Sveikata	„Kodėl moku už nemokamus tyrimus?“: po LRT.lt publikacijos – skaitytojų klausimai dėl mokamų gydymo paslaugų	2024.01.13	https://www.lrt.lt/naujienos/sveikata/682/2169498/kodel-moku-uz-nemokamus-tyrimus-po-lrt-lt-publikacijos-skaitytoju-klausimai-del-mokamu-gydymo-paslaugu	855
LRT_SVE_012	Sveikata	Vaistinių tinkle – konkursas darbuotojams: žada piniginį atlygį pardavusiems daugiausiai maisto papildų	2024.01.06	https://www.lrt.lt/naujienos/sveikata/682/2164601/vaistiniu-tinkle-konkursas-darbuotojams-zada-pinigini-atlygi-pardavusiems-daugiausiai-maisto-papildu	1175
LRT_SVE_013	Sveikata	MRT įrenginiai visiškai saugūs, tačiau yra dalykų, kurių juose geriau nedaryti	2024.01.05	https://www.lrt.lt/naujienos/sveikata/682/2164523/mrt-irenginiai-visiskai-saugus-taciau-yra-dalyku-kuriu-juose-geriau-nedaryti	724
LRT_SVE_014	Sveikata	Harvardo tyrimo duomenimis, fizinę sveikatą senatvėje emocijos lemia labiau nei cholesterolis	2024.01.05	https://www.lrt.lt/naujienos/sveikata/682/2164565/harvardo-tyrimo-duomenimis-fizine-sveikata-senatveje-emocijos-lemia-labiau-nei-cholesterolis	827
LRT_SVE_015	Sveikata	Po pusnimi gali slėptis pavojus: vaistininkas įvardijo 10 taisyklių, padėsiančių išvengti traumų	2024.01.05	https://www.lrt.lt/naujienos/sveikata/682/2164449/po-pusnimi-gali-sleptis-pavojus-vaistininkas-ivardijo-10-taisykliu-padesianciu-isvengti-traumu	632
LRT_SVE_016	Sveikata	Traumatologas: kraujo plazmos injekcijos į sąnarius ir sausgysles slopina nemalonius simptomus, pašalina ligos priežastis	2024.01.05	https://www.lrt.lt/naujienos/sveikata/682/2163764/traumatologas-kraujo-plazmos-injekcijos-i-sanarius-ir-sausgysles-slopina-nemalonius-simptomus-pasalina-ligos-priezastis	1144
LRT_SVE_017	Sveikata	Ligonių kasos: kokius kraujo tyrimus gali paskirti šeimos gydytojas? 	2024.01.04	https://www.lrt.lt/naujienos/sveikata/682/2163388/ligoniu-kasos-kokius-kraujo-tyrimus-gali-paskirti-seimos-gydytojas	519
LRT_SVE_018	Sveikata	Ministerija kviečia spaudimą dėl vaistų pardavimo patiriančius vaistininkus pranešti apie tokius atvejus	2024.01.13	https://www.lrt.lt/naujienos/sveikata/682/2170199/ministerija-kviecia-spaudima-del-vaistu-pardavimo-patiriancius-vaistininkus-pranesti-apie-tokius-atvejus	308
LRT_SVE_019	Sveikata	Sveikatos specialistai: panikos priepuoliai labai dažnai „apsimeta“ širdies ligomis	2024.01.04	https://www.lrt.lt/naujienos/sveikata/682/2163328/sveikatos-specialistai-panikos-priepuoliai-labai-daznai-apsimeta-sirdies-ligomis	805
LRT_SVE_020	Sveikata	Susirgusieji kovidu per šventes sulaukė dar vieno iššūkio: vaistų nuo ligos tiesiog nebeliko	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2163059/susirgusieji-kovidu-per-sventes-sulauke-dar-vieno-issukio-vaistu-nuo-ligos-tiesiog-nebeliko	402
LRT_SVE_021	Sveikata	Amžėjimo iššūkiai: kas vyksta su mūsų dantimis senstant?	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2161778/amzejimo-issukiai-kas-vyksta-su-musu-dantimis-senstant	713
LRT_SVE_022	Sveikata	Saugokite savo gerąsias bakterijas – jos padeda ne tik virškinti, bet ir valdyti stresą bei nerimą	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2162943/saugokite-savo-gerasias-bakterijas-jos-padeda-ne-tik-virskinti-bet-ir-valdyti-stresa-bei-nerima	674
LRT_SVE_023	Sveikata	Kodėl tonzilės ir adenoidai vaikams pradeda kelti sveikatos problemų ir kada jie šalinami?	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2162794/kodel-tonziles-ir-adenoidai-vaikams-pradeda-kelti-sveikatos-problemu-ir-kada-jie-salinami	1297
LRT_SVE_024	Sveikata	Toksikologai atkreipia dėmesį į pagrindinius apsinuodijimo smalkėmis simptomus	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2162564/toksikologai-atkreipia-demesi-i-pagrindinius-apsinuodijimo-smalkemis-simptomus	770
LRT_SVE_025	Sveikata	Būsimiems medikams planuojama skirti daugiau valstybės finansuojamų studijų vietų	2024.01.03	https://www.lrt.lt/naujienos/sveikata/682/2162533/busimiems-medikams-planuojama-skirti-daugiau-valstybes-finansuojamu-studiju-vietu	636
LRT_SVE_026	Sveikata	Tėvai privalo suklusti: ką daryti, kad vaikai ateityje išvengtų nutukimo, diabeto ar onkologinių ligų?	2024.01.02	https://www.lrt.lt/naujienos/sveikata/682/2161922/tevai-privalo-suklusti-ka-daryti-kad-vaikai-ateityje-isvengtu-nutukimo-diabeto-ar-onkologiniu-ligu	827
LRT_SVE_027	Sveikata	Ekspertų teigimu, jau įžengėme į depresijos diagnozavimo ateitį 	2024.01.10	https://www.lrt.lt/naujienos/sveikata/682/2168055/ekspertu-teigimu-jau-izengeme-i-depresijos-diagnozavimo-ateiti	857
LRT_SVE_028	Sveikata	Neurologijos profesorius Jatužis: „Tinkamos priemonės riziką susirgti insultu sumažina iki 80 proc.“	2024.01.10	https://www.lrt.lt/naujienos/sveikata/682/2168040/neurologijos-profesorius-jatuzis-tinkamos-priemones-rizika-susirgti-insultu-sumazina-iki-80-proc	878
LT_COV_02	Covid-19	Šventės ligoninės priimamajame: laukti tenka net šešias valandas	2024.12.31	https://www.lrt.lt/naujienos/sveikata/682/2449570/sventes-ligonines-priimamajame-laukti-tenka-net-sesias-valandas	956
LT_COV_03	Covid-19	Gytis Dudas: iš faktinės pusės JAV ataskaita dėl laboratorinės SARS-CoV-2 kilmės – bevertė	2024.12.13	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2438156/gytis-dudas-is-faktines-puses-jav-ataskaita-del-laboratorines-sars-cov-2-kilmes-beverte	525
LT_COV_04	Covid-19	Agnietė Kaufman. Visuomenės susipriešinimas: keli pasvarstymai, kaip jį įveikti	2024.11.2	https://www.lrt.lt/naujienos/nuomones/3/2420593/agniete-kaufman-visuomenes-susipriesinimas-keli-pasvarstymai-kaip-ji-iveikti	846
LT_COV_05	Covid-19	Šaltasis sezonas – nebūtinai ligų pranašas: kaip apsisaugoti nuo virusų?	2024.11.20	https://www.lrt.lt/naujienos/sveikata/682/2418693/saltasis-sezonas-nebutinai-ligu-pranasas-kaip-apsisaugoti-nuo-virusu	450
LT_COV_06	Covid-19	Medikai ragina skiepytis nuo COVID-19: vien praėjusią savaitę mirė 5 senjorai	2024.11.16	https://www.lrt.lt/naujienos/sveikata/682/2412953/medikai-ragina-skiepytis-nuo-covid-19-vien-praejusia-savaite-mire-5-senjorai	468
LT_COV_07	Covid-19	Lietuvoje daugėja sergančiųjų gripu ir COVID-19, ypač Vilniuje 	2024.11.11 	https://www.lrt.lt/naujienos/sveikata/682/2410838/lietuvoje-daugeja-serganciuju-gripu-ir-covid-19-ypac-vilniuje	399
LT_COV_08	Covid-19	Nuovargis, suprastėjusi atmintis ir nemiga – ilgasis COVID-19 gali trukti mėnesius	2024.11.04	https://www.lrt.lt/naujienos/sveikata/682/2403888/nuovargis-suprastejusi-atmintis-ir-nemiga-ilgasis-covid-19-gali-trukti-menesius	638
LT_COV_09	Covid-19	Nuo veipų iki druskos: kokių bėdų Lietuvoje mato už sveikatą atsakingas PSO atstovas	2024.10.02	https://www.lrt.lt/naujienos/sveikata/682/2367449/nuo-veipu-iki-druskos-kokiu-bedu-lietuvoje-mato-uz-sveikata-atsakingas-pso-atstovas	2647
LT_COV_10	Covid-19	Ragina vienu metu pasiskiepyti nuo gripo ir COVID-19	2024.09.30	https://www.lrt.lt/naujienos/sveikata/682/2373256/ragina-vienu-metu-pasiskiepyti-nuo-gripo-ir-covid-19	602
LT_COV_11	Covid-19	Ministerija primena, kas nuo gripo ir COVID-19 gali pasiskiepyti nemokamai	2024.09.17	https://www.lrt.lt/naujienos/sveikata/682/2361781/ministerija-primena-kas-nuo-gripo-ir-covid-19-gali-pasiskiepyti-nemokamai	973
LT_COV_12	Covid-19	Viduržemio jūros regiono dieta gali sumažinti infekcijos COVID-19 riziką?	2024.09.03	https://www.lrt.lt/naujienos/sveikata/682/2352063/vidurzemio-juros-regiono-dieta-gali-sumazinti-infekcijos-covid-19-rizika	1169
LT_COV_13	Covid-19	Nacionalinis visuomenės sveikatos centras: prieš mokyklą svarbu nepamiršti skiepų	2024.08.23	https://www.lrt.lt/naujienos/sveikata/682/2345680/nacionalinis-visuomenes-sveikatos-centras-pries-mokykla-svarbu-nepamirsti-skiepu	394
LT_COV_14	Covid-19	Šalyje ir toliau kyla sergamumas COVID-19, daugiausia serga 65 metų ir vyresni gyventojai	2024.08.21	https://www.lrt.lt/naujienos/sveikata/682/2344112/salyje-ir-toliau-kyla-sergamumas-covid-19-daugiausia-serga-65-metu-ir-vyresni-gyventojai	400
LT_COV_15	Covid-19	Premjerė apie COVID-19 vakcinų įsigijimą: opozicijos darbas yra ieškoti debesų virš galvų	2024.08.01	https://www.lrt.lt/naujienos/lietuvoje/2/2330696/premjere-apie-covid-19-vakcinu-isigijima-opozicijos-darbas-yra-ieskoti-debesu-virs-galvu	365
LT_COV_16	Covid-19	Pripažinta, kad COVID-19 gali veikti organizmą net kelerius metus	2024.07.21	https://www.lrt.lt/naujienos/sveikata/682/2322819/pripazinta-kad-covid-19-gali-veikti-organizma-net-kelerius-metus	496
LT_COV_17	Covid-19	Žinia būsimiems europarlamentarams: teks spręsti po COVID-19 pandemijos likusius iššūkius	2024.06.07	https://www.lrt.lt/naujienos/sveikata/682/2291635/zinia-busimiems-europarlamentarams-teks-spresti-po-covid-19-pandemijos-likusius-issukius	547
LT_COV_18	Covid-19	Prokuratūra pradėjo ikiteisminį tyrimą dėl COVID-19 vakcinų įsigijimo, utilizavimo kiekių	2024.05.15	https://www.lrt.lt/naujienos/lietuvoje/2/2273370/prokuratura-pradejo-ikiteismini-tyrima-del-covid-19-vakcinu-isigijimo-utilizavimo-kiekiu	300
LT_COV_19	Covid-19	Du asmenys pripažinti kaltais dėl apgaule įgytų COVID-19 vakcinavimo dokumentų 	2024.05.03	https://www.lrt.lt/naujienos/sveikata/682/2264272/du-asmenys-pripazinti-kaltais-del-apgaule-igytu-covid-19-vakcinavimo-dokumentu	433
LT_COV_20	Covid-19	Narbutas lieka išteisintas COVID-19 reagentų byloje	2024.04.20	https://www.lrt.lt/naujienos/lietuvoje/2/2255499/narbutas-lieka-isteisintas-covid-19-reagentu-byloje	945
LT_COV_21	Covid-19	Žurnalistui Rimui Bružui atlikta sąnario keitimo operacija: „Galimai COVID-19 pasekmė“	2024.04.04	https://www.lrt.lt/naujienos/veidai/14/2242203/zurnalistui-rimui-bruzui-atlikta-sanario-keitimo-operacija-galimai-covid-19-pasekme	288
LT_COV_22	Covid-19	Darius Imbrasas. Per pandemiją sutaupyti 6 mlrd. eurų: kur jie atsidūrė?	2024.03.29	https://www.lrt.lt/naujienos/verslo-pozicija/692/2237616/darius-imbrasas-per-pandemija-sutaupyti-6-mlrd-euru-kur-jie-atsidure	564
LT_COV_23	Covid-19	Lietuvos bioetikos komiteto vadovė: „Tikrų vakcinų skeptikų yra apie 2 proc. populiacijos“	2024.03.08	https://www.lrt.lt/naujienos/sveikata/682/2217424/lietuvos-bioetikos-komiteto-vadove-tikru-vakcinu-skeptiku-yra-apie-2-proc-populiacijos	2252
LT_COV_24	Covid-19	Europa ruošiasi kvėpavimo takų ligų „tridemijai“	2024.01.25	https://www.lrt.lt/naujienos/sveikata/682/2179997/europa-ruosiasi-kvepavimo-taku-ligu-tridemijai	531
LT_COV_25	Covid-19	Gamtoje besimėtančių veido kaukių gali nebelikti: lietuviai jas verčia vandenilio prisotintomis dujomis	2024.01.24	https://www.lrt.lt/naujienos/mokslas-ir-it/11/2177777/gamtoje-besimetanciu-veido-kaukiu-gali-nebelikti-lietuviai-jas-vercia-vandenilio-prisotintomis-dujomis	523
LT_COV_26	Covid-19	Virusologai įspėja: dėl pasikeitusio imuninio atsako šiemet greitieji COVID testai gali apgauti	2024.01.18	https://www.lrt.lt/naujienos/sveikata/682/2174969/virusologai-ispeja-del-pasikeitusio-imuninio-atsako-siemet-greitieji-covid-testai-gali-apgauti	381
LT_COV_27	Covid-19	Susirgusieji kovidu per šventes sulaukė dar vieno iššūkio: vaistų nuo ligos tiesiog nebeliko	2024.01.03 	https://www.lrt.lt/naujienos/sveikata/682/2163059/susirgusieji-kovidu-per-sventes-sulauke-dar-vieno-issukio-vaistu-nuo-ligos-tiesiog-nebeliko	402
LT_COV_28	Covid-19	Gyventojai baigia iššluoti vaistus nuo COVID-19: ministerija ramina – papildymo galima tikėtis jau kitą savaitę 	2023.12.22	https://www.lrt.lt/naujienos/sveikata/682/2156691/gyventojai-baigia-issluoti-vaistus-nuo-covid-19-ministerija-ramina-papildymo-galima-tiketis-jau-kita-savaite	601
LT_COV_29	Covid-19	Evangelikų reformatų dvasininkas: demokratinėje visuomenėje neturėtume vartoti žodžio „antivakseris“	2023.12.16	https://www.lrt.lt/naujienos/kultura/12/2141315/evangeliku-reformatu-dvasininkas-demokratineje-visuomeneje-neturetume-vartoti-zodzio-antivakseris	2932
